Speed, Filename
   65, 13-32-19
   65, 13-34-21
   59, 13-36-55
   66, 13-37-30
   66, 13-38-16
   65, 13-38-51
   67, 13-39-32
   67, 13-40-06
   66, 13-40-43
   72, 13-41-15
   73, 13-41-46
   66, 13-42-24
   66, 13-42-55
   69, 13-44-02
   68, 13-44-33
   76, 13-46-46
   78, 13-47-19
   83, 13-47-54
   83, 13-48-34
   81, 13-49-11
   79, 13-49-48
   77, 13-51-07
   77, 13-51-41
   82, 13-52-58
   79, 13-53-39
   84, 13-54-55
   83, 13-55-38
   82, 13-56-20
   82, 13-56-56
   86, 13-57-32
   83, 13-58-08
   85, 13-58-38
   83, 13-59-11
   85, 13-59-54
   84, 14-00-30
   83, 14-02-52
   82, 14-03-28
   82, 14-05-39
   79, 14-06-21
   77, 14-06-54
   77, 14-07-29
   81, 14-08-05
   83, 14-08-47
   80, 14-09-23
   83, 14-09-58
   72, 14-11-10
   74, 14-12-37
   72, 14-13-12
   74, 14-13-44
   75, 14-14-23
   73, 14-14-59
   71, 14-15-35
   73, 14-16-13
   72, 14-16-48
   74, 14-17-23
   81, 14-19-58
   76, 14-20-38
   73, 14-21-12
   74, 14-21-43
   77, 14-23-32
   74, 14-23-58
   74, 14-24-27
   75, 14-25-01
   75, 14-25-57
   73, 14-26-24
   72, 14-27-16
   75, 14-27-47
   71, 14-28-43
   76, 14-29-09
   72, 14-30-19
   70, 14-31-18
   74, 14-31-47
   75, 14-32-48
   75, 14-33-19
   75, 14-33-47
   77, 14-36-37
   82, 14-37-08
   68, 14-39-29
   78, 14-40-00
   76, 14-41-25
   73, 14-41-51
   75, 14-48-26
   69, 14-50-05
   71, 14-50-31
   73, 14-50-55
   66, 14-52-16
   71, 14-53-43
   64, 14-54-35
   72, 14-55-05
   70, 14-55-34
   68, 14-56-01
   78, 14-56-28
   69, 14-58-19
   73, 14-58-44
   71, 14-59-10
   68, 14-59-36
   68, 15-00-35
   80, 15-01-02
   74, 15-01-58
   70, 15-02-24
   63, 15-03-18
   74, 15-03-43
   69, 15-04-11
   69, 15-05-08
   81, 15-05-36
